######Solution summary######
District nodes: [111, 116, 130, 143, 227, 234, 235, 236, 237, 238, 239, 240, 325, 326, 440, 441, 443, 485, 487, 490, 491, 557, 606, 630, 631, 640, 642, 654, 723, 726, 756]
Suffix: _LB=1000000.0
Polsby-Popper score: 0.8820
Inverse Polsby-Popper score (Objective value): 1.1338
Area: 1673228.4760
Perimeter: 4882.5684
Model status: 2
######All Variables######
y[50,314]: -0.0000
y[51,50]: -0.0000
y[51,52]: -0.0000
y[51,245]: -0.0000
y[51,314]: -0.0000
y[51,499]: -0.0000
y[52,51]: -0.0000
y[52,245]: -0.0000
y[52,420]: -0.0000
y[54,197]: -0.0000
y[54,244]: -0.0000
y[54,246]: -0.0000
y[54,316]: 0.0000
y[54,318]: -0.0000
y[54,349]: -0.0000
y[54,386]: -0.0000
y[54,388]: -0.0000
y[54,623]: -0.0000
y[54,624]: -0.0000
y[54,626]: -0.0000
y[54,627]: -0.0000
y[54,633]: -0.0000
y[54,650]: -0.0000
y[54,733]: -0.0000
y[54,734]: -0.0000
y[54,735]: 0.0000
y[54,736]: -0.0000
y[54,752]: -0.0000
y[54,764]: -0.0000
y[54,765]: -0.0000
y[55,56]: -0.0000
y[55,57]: -0.0000
y[55,70]: -0.0000
y[55,71]: -0.0000
y[55,72]: -0.0000
y[55,635]: -0.0000
y[56,55]: -0.0000
y[56,57]: -0.0000
y[56,70]: -0.0000
y[56,127]: -0.0000
y[57,55]: -0.0000
y[57,56]: 0.0000
y[57,127]: -0.0000
y[58,64]: -0.0000
y[58,340]: -0.0000
y[58,434]: -0.0000
y[58,435]: -0.0000
y[58,521]: -0.0000
y[58,636]: -0.0000
y[59,64]: -0.0000
y[59,520]: -0.0000
y[59,521]: -0.0000
y[59,636]: -0.0000
y[64,58]: -0.0000
y[64,59]: -0.0000
y[64,65]: 0.0000
y[64,66]: 0.0000
y[64,67]: -0.0000
y[64,68]: -0.0000
y[64,70]: -0.0000
y[64,77]: -0.0000
y[64,111]: -0.0000
y[64,116]: -0.0000
y[64,127]: 0.0000
y[64,340]: -0.0000
y[64,428]: 0.0000
y[64,429]: -0.0000
y[64,430]: 0.0000
y[64,431]: -0.0000
y[64,432]: -0.0000
y[64,435]: -0.0000
y[64,481]: -0.0000
y[64,482]: -0.0000
y[64,520]: -0.0000
y[64,521]: -0.0000
y[64,573]: -0.0000
y[64,595]: -0.0000
y[65,64]: -0.0000
y[65,127]: -0.0000
y[65,520]: 0.0000
y[66,64]: -0.0000
y[66,67]: -0.0000
y[66,68]: -0.0000
y[67,64]: -0.0000
y[67,66]: -0.0000
y[67,69]: -0.0000
y[67,73]: -0.0000
y[67,76]: -0.0000
y[68,64]: -0.0000
y[68,66]: -0.0000
y[68,69]: -0.0000
y[69,67]: -0.0000
y[69,68]: -0.0000
y[69,70]: -0.0000
y[69,72]: -0.0000
y[70,55]: -0.0000
y[70,56]: -0.0000
y[70,64]: 0.0000
y[70,69]: -0.0000
y[70,71]: -0.0000
y[70,127]: -0.0000
y[71,55]: -0.0000
y[71,70]: -0.0000
y[71,72]: -0.0000
y[72,55]: -0.0000
y[72,69]: -0.0000
y[72,71]: -0.0000
y[72,73]: -0.0000
y[72,635]: -0.0000
y[73,67]: -0.0000
y[73,72]: -0.0000
y[74,75]: -0.0000
y[74,76]: -0.0000
y[74,724]: 0.0000
y[75,74]: -0.0000
y[75,76]: -0.0000
y[76,67]: -0.0000
y[76,74]: -0.0000
y[76,75]: -0.0000
y[76,77]: -0.0000
y[76,78]: 0.0000
y[76,79]: -0.0000
y[76,80]: -0.0000
y[77,64]: -0.0000
y[77,76]: -0.0000
y[77,79]: -0.0000
y[77,80]: -0.0000
y[77,596]: -0.0000
y[77,603]: -0.0000
y[77,604]: -0.0000
y[77,651]: -0.0000
y[78,76]: 0.0000
y[78,79]: -0.0000
y[78,228]: -0.0000
y[78,229]: -0.0000
y[78,612]: -0.0000
y[79,76]: 0.0000
y[79,77]: 0.0000
y[79,78]: 0.0000
y[79,80]: 0.0000
y[79,110]: 0.0000
y[79,426]: -0.0000
y[79,429]: -0.0000
y[79,481]: -0.0000
y[79,593]: -0.0000
y[79,596]: 0.0000
y[79,603]: 0.0000
y[79,604]: 0.0000
y[79,612]: 0.0000
y[79,725]: 0.0000
y[80,76]: -0.0000
y[80,77]: -0.0000
y[80,79]: -0.0000
y[80,596]: 0.0000
y[81,82]: -0.0000
y[81,212]: -0.0000
y[81,294]: -0.0000
y[82,81]: -0.0000
y[82,212]: -0.0000
y[82,298]: -0.0000
y[82,329]: -0.0000
y[83,84]: -0.0000
y[83,85]: -0.0000
y[83,89]: -0.0000
y[83,90]: -0.0000
y[84,83]: -0.0000
y[84,86]: -0.0000
y[84,89]: 0.0000
y[84,99]: 0.0000
y[84,136]: -0.0000
y[84,144]: -0.0000
y[84,219]: -0.0000
y[84,611]: -0.0000
y[85,83]: -0.0000
y[85,86]: -0.0000
y[85,87]: -0.0000
y[85,90]: -0.0000
y[85,107]: -0.0000
y[85,213]: -0.0000
y[85,294]: 0.0000
y[85,543]: 0.0000
y[86,84]: -0.0000
y[86,85]: -0.0000
y[86,88]: -0.0000
y[86,696]: -0.0000
y[87,85]: -0.0000
y[87,88]: -0.0000
y[87,212]: -0.0000
y[87,213]: -0.0000
y[88,86]: -0.0000
y[88,87]: -0.0000
y[88,186]: 0.0000
y[88,212]: -0.0000
y[88,329]: -0.0000
y[89,83]: -0.0000
y[89,84]: -0.0000
y[89,90]: -0.0000
y[89,92]: -0.0000
y[89,99]: -0.0000
y[89,107]: -0.0000
y[89,108]: -0.0000
y[89,131]: -0.0000
y[89,144]: -0.0000
y[89,219]: -0.0000
y[89,345]: -0.0000
y[89,365]: -0.0000
y[89,543]: -0.0000
y[89,544]: -0.0000
y[89,545]: -0.0000
y[89,575]: -0.0000
y[89,576]: -0.0000
y[89,585]: -0.0000
y[89,590]: -0.0000
y[89,592]: -0.0000
y[89,598]: -0.0000
y[89,602]: -0.0000
y[89,732]: -0.0000
y[89,738]: -0.0000
y[89,750]: -0.0000
y[89,751]: -0.0000
y[90,83]: -0.0000
y[90,85]: -0.0000
y[90,89]: -0.0000
y[90,543]: -0.0000
y[91,92]: -0.0000
y[91,98]: -0.0000
y[91,99]: -0.0000
y[91,135]: -0.0000
y[92,89]: -0.0000
y[92,91]: -0.0000
y[92,99]: -0.0000
y[92,135]: -0.0000
y[92,369]: -0.0000
y[92,530]: -0.0000
y[92,574]: -0.0000
y[92,575]: -0.0000
y[92,584]: -0.0000
y[92,585]: -0.0000
y[92,590]: -0.0000
y[92,745]: -0.0000
y[92,746]: -0.0000
y[92,766]: -0.0000
y[98,91]: -0.0000
y[98,100]: -0.0000
y[98,135]: -0.0000
y[99,84]: -0.0000
y[99,89]: -0.0000
y[99,91]: -0.0000
y[99,92]: -0.0000
y[99,100]: -0.0000
y[99,101]: -0.0000
y[100,98]: -0.0000
y[100,99]: -0.0000
y[100,136]: -0.0000
y[101,99]: -0.0000
y[107,85]: -0.0000
y[107,89]: -0.0000
y[107,108]: -0.0000
y[107,131]: -0.0000
y[107,280]: -0.0000
y[107,281]: -0.0000
y[107,292]: -0.0000
y[107,294]: -0.0000
y[107,345]: -0.0000
y[107,543]: -0.0000
y[107,544]: -0.0000
y[107,545]: -0.0000
y[107,592]: -0.0000
y[107,594]: -0.0000
y[107,601]: -0.0000
y[107,722]: 0.0000
y[107,732]: -0.0000
y[107,785]: -0.0000
y[108,89]: -0.0000
y[108,107]: -0.0000
y[108,592]: -0.0000
y[108,732]: -0.0000
y[109,110]: -0.0000
y[109,140]: -0.0000
y[109,459]: 0.0000
y[110,79]: -0.0000
y[110,109]: -0.0000
y[110,140]: -0.0000
y[110,459]: -0.0000
y[110,607]: -0.0000
y[110,608]: -0.0000
y[110,644]: -0.0000
y[110,753]: -0.0000
y[110,762]: -0.0000
y[111,64]: 1.0000
y[111,112]: 1.0000
y[111,116]: -0.0000
y[111,129]: 1.0000
y[111,130]: -0.0000
y[111,143]: -0.0000
y[111,225]: 1.0000
y[111,227]: -0.0000
y[111,234]: -0.0000
y[111,237]: -0.0000
y[111,238]: 0.0000
y[111,240]: -0.0000
y[111,325]: -0.0000
y[111,426]: 1.0000
y[111,428]: 1.0000
y[111,440]: 0.0000
y[111,441]: 0.0000
y[111,443]: 0.0000
y[111,485]: -0.0000
y[111,490]: -0.0000
y[111,557]: -0.0000
y[111,559]: 1.0000
y[111,606]: 0.0000
y[111,630]: -0.0000
y[111,631]: -0.0000
y[111,640]: -0.0000
y[111,641]: 1.0000
y[111,642]: -0.0000
y[111,654]: -0.0000
y[111,723]: -0.0000
y[112,111]: -0.0000
y[112,129]: -0.0000
y[112,218]: -0.0000
y[112,606]: -0.0000
y[113,114]: -0.0000
y[113,493]: -0.0000
y[113,498]: -0.0000
y[113,500]: -0.0000
y[113,614]: -0.0000
y[113,720]: -0.0000
y[114,113]: -0.0000
y[114,115]: -0.0000
y[114,121]: -0.0000
y[114,128]: -0.0000
y[114,244]: -0.0000
y[114,247]: -0.0000
y[114,248]: -0.0000
y[114,314]: -0.0000
y[114,348]: -0.0000
y[114,351]: -0.0000
y[114,352]: -0.0000
y[114,353]: -0.0000
y[114,354]: -0.0000
y[114,355]: -0.0000
y[114,356]: -0.0000
y[114,386]: -0.0000
y[114,419]: -0.0000
y[114,480]: -0.0000
y[114,493]: -0.0000
y[114,494]: -0.0000
y[114,495]: -0.0000
y[114,496]: -0.0000
y[114,497]: -0.0000
y[114,501]: -0.0000
y[114,502]: -0.0000
y[114,503]: 0.0000
y[114,504]: -0.0000
y[114,565]: -0.0000
y[114,569]: -0.0000
y[114,570]: -0.0000
y[114,614]: -0.0000
y[114,637]: -0.0000
y[114,639]: -0.0000
y[114,645]: -0.0000
y[114,646]: 0.0000
y[114,728]: -0.0000
y[114,731]: -0.0000
y[114,733]: 0.0000
y[114,770]: -0.0000
y[114,771]: -0.0000
y[115,114]: -0.0000
y[115,314]: -0.0000
y[115,419]: -0.0000
y[116,64]: 1.0000
y[116,111]: -0.0000
y[116,485]: -0.0000
y[116,486]: 1.0000
y[116,489]: 1.0000
y[121,114]: -0.0000
y[121,128]: -0.0000
y[121,614]: 0.0000
y[127,56]: -0.0000
y[127,57]: -0.0000
y[127,64]: -0.0000
y[127,65]: -0.0000
y[127,70]: -0.0000
y[128,114]: -0.0000
y[128,121]: -0.0000
y[128,150]: -0.0000
y[128,151]: 0.0000
y[128,152]: -0.0000
y[128,154]: -0.0000
y[128,155]: 0.0000
y[128,176]: 0.0000
y[128,322]: 0.0000
y[128,324]: -0.0000
y[128,355]: -0.0000
y[128,356]: -0.0000
y[128,386]: -0.0000
y[128,461]: -0.0000
y[128,495]: -0.0000
y[128,497]: -0.0000
y[128,564]: -0.0000
y[128,565]: -0.0000
y[128,566]: -0.0000
y[128,571]: -0.0000
y[128,578]: -0.0000
y[128,579]: -0.0000
y[128,589]: -0.0000
y[128,591]: -0.0000
y[128,614]: 0.0000
y[128,645]: -0.0000
y[128,646]: -0.0000
y[128,653]: -0.0000
y[129,111]: -0.0000
y[129,112]: -0.0000
y[129,559]: -0.0000
y[130,111]: -0.0000
y[130,140]: 1.0000
y[130,618]: 1.0000
y[130,642]: -0.0000
y[130,654]: -0.0000
y[131,89]: -0.0000
y[131,107]: -0.0000
y[131,732]: -0.0000
y[135,91]: -0.0000
y[135,92]: -0.0000
y[135,98]: -0.0000
y[135,136]: -0.0000
y[135,530]: -0.0000
y[135,583]: -0.0000
y[135,584]: -0.0000
y[136,84]: -0.0000
y[136,100]: -0.0000
y[136,135]: -0.0000
y[137,138]: -0.0000
y[137,148]: -0.0000
y[137,149]: -0.0000
y[137,157]: -0.0000
y[138,137]: 0.0000
y[138,139]: -0.0000
y[138,150]: -0.0000
y[138,151]: 0.0000
y[138,153]: -0.0000
y[138,156]: -0.0000
y[138,157]: -0.0000
y[138,449]: -0.0000
y[138,450]: 0.0000
y[138,453]: -0.0000
y[138,454]: -0.0000
y[139,138]: -0.0000
y[139,151]: -0.0000
y[139,153]: -0.0000
y[139,155]: -0.0000
y[139,599]: -0.0000
y[140,109]: -0.0000
y[140,110]: -0.0000
y[140,130]: -0.0000
y[140,148]: -0.0000
y[140,426]: -0.0000
y[140,436]: -0.0000
y[140,437]: -0.0000
y[140,444]: -0.0000
y[140,459]: -0.0000
